,ride_id,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
147787,A067AD79DE510820,W 44 St & 11 Ave,W 34 St &\tHudson Blvd E,40.762009,-73.996975,40.75516719072139,-74.00059908628464,1
164336,8F1A9E22FBDB7541,E 170 St & Webster Ave,Melrose Ave & E 150 St,40.83617913677475,-73.90730146322765,40.816827,-73.917338,1
17252,05582B359A77FB91,2 Ave & E 29 St,8 Ave & W 16 St,40.74172351097472,-73.97809267044067,40.740983,-74.001702,1
60244,9B2703FFA77C726F,E 47 St & 1 Ave,FDR Drive & E 35 St,40.75206862,-73.96784384,40.744219,-73.97121214,1
31316,15149EB2479E4362,Dawson St & Intervale Ave,Nelson Ave & 167 St,40.819990635,-73.897325635,40.83670566862804,-73.92608866095543,1
49819,95518A0AE6BDD014,Barclay St & Church St,Fulton St & Adams St,40.712973237,-74.010375142,40.69241829257847,-73.98949474096298,1
111450,8C8011CAB20D32F9,E 106 St & 2 Ave,E 93 St & 2 Ave,40.790586067792006,-73.94195795059204,40.782454175279874,-73.9489196240902,1
175036,38CB6CC34FCE4A06,E 2 St & Avenue B,E 2 St & Avenue C,40.72217444,-73.98368779,40.7208736,-73.98085795,1
31365,3D0904180131D53A,Kingston Ave & Herkimer St,Greene Ave & Throop Ave,40.678885221,-73.941526175,40.6894932,-73.942061,1
136886,68BE531D52421279,South St & Pike St,Allen St & Hester St,40.70991806921533,-73.99161100387573,40.71605866,-73.99190759,1
101449,E31E94800B305300,E 11 St & 3 Ave,University Pl & E 8 St,40.73127,-73.98849,40.73143724085228,-73.99490341544151,1
17473,2CEF583B038FCB45,E 97 St & Madison Ave,Central Park S & 6 Ave,40.787801,-73.953559,40.76590936,-73.97634151,1
136531,1EE910F8890EC7B4,W 24 St & 7 Ave,W 30 St & 8 Ave,40.74487634,-73.99529885,40.74965268472847,-73.9952078461647,1
150369,0A6DB894AFEF68A9,E 47 St & 2 Ave,E 13 St & 2 Ave,40.75323098,-73.97032517,40.73153937464073,-73.9853024482727,1
88188,FDB0A68DDB75DCF9,E 76 St & Park Ave,2 Ave & E 55 St,40.773763,-73.96222088,40.757920208794026,-73.96638214588165,1
89246,41A4C8C1205D26EF,Central Ave & Covert St,Lewis Ave & Madison St,40.689293146,-73.909569502,40.686312,-73.935775,1
73112,BD7E1B9B47F48E84,E 161 St & River Ave,Clay Ave & E 173 St,40.827883,-73.927111,40.843264,-73.904867,1
97850,4CE4E077E497A881,Dyckman St & Staff St,12 Ave & W 125 St,40.868846,-73.931537,40.818299,-73.960405,1
150028,4D45C4A34B6F12F3,W 49 St & 8 Ave,11 Ave & W 41 St,40.76227205,-73.98788205,40.76030096,-73.99884222,1
36178,4F8D55773E31D1AF,Amsterdam Ave & W 156 St,Sherman Ave & Thayer St,40.832081,-73.942386,40.863124,-73.926994,1
153369,32804FA2350CB7E4,W 54 St & 11 Ave,11 Ave & W 41 St,40.768333,-73.992573,40.76030096,-73.99884222,1
33852,8A335D85EF2E07AD,11 Ave & W 27 St,Berry St & N 8 St,40.751304507,-74.005290627,40.7190095,-73.95852515,1
